problem;set;formula;selected;occurrences
Tc2t;set3;P1+((T1+d)-T1);FALSE;0
Tc2t;set3;(T1-(T1-P1))+d;FALSE;0
Tc2t;set3;((T1+d)-P1)-P1;FALSE;0
Cc4p;set0;T1+d;TRUE;1
Cc4p;set0;T1+P1;FALSE;1
Cc4p;set0;T1-P1;FALSE;9
Cc4p;set0;P1+d;FALSE;0
Cc4p;set0;T1-d;TRUE;48
Cc4p;set1;T1+(P1+d);FALSE;0
Cc4p;set1;(T1+d)+P1;FALSE;0
Cc4p;set1;(T1+P1)-d;FALSE;4
Cc4p;set1;T1-(P1-d);FALSE;0
Cc4p;set1;(T1+d)-P1;FALSE;0
Cc4p;set1;(T1-P1)-d;TRUE;12
Cc4p;set1;(T1-P1)+d;FALSE;0
Cc4p;set1;(T1-d)+P1;FALSE;1
Cc4p;set1;T1+(P1-d);FALSE;0
Cc4p;set1;(T1+P1)+d;FALSE;0
Cc4p;set1;(T1-d)-P1;TRUE;15
Cc4p;set1;T1-(P1+d);FALSE;0
Cc4p;set2;P1-(T1-P1);FALSE;0
Cc4p;set2;T1+(T1-d);FALSE;0
Cc4p;set2;P1+(P1-d);FALSE;0
Cc4p;set2;(T1-d)-d;TRUE;0
Cc4p;set2;(P1-d)+d;FALSE;0
Cc4p;set2;(T1+d)-d;TRUE;0
Cc4p;set2;T1-(T1-d);TRUE;1
Cc4p;set2;(T1+P1)-P1;FALSE;0
Cc4p;set2;(T1+P1)-T1;FALSE;0
Cc4p;set2;(T1+P1)+T1;FALSE;0
Cc4p;set2;(P1-d)-d;FALSE;0
Cc4p;set2;(T1+P1)+P1;FALSE;0
Cc4p;set2;T1-(T1-P1);FALSE;1
Cc4p;set2;T1+(T1-P1);FALSE;0
Cc4p;set2;P1+(T1-P1);FALSE;0
Cc4p;set2;(T1+d)+d;FALSE;0
Cc4p;set2;(P1+d)+P1;FALSE;0
Cc4p;set2;(T1+d)-T1;TRUE;0
Cc4p;set2;P1-(P1-d);FALSE;0
Cc4p;set2;(P1+d)-P1;FALSE;0
Cc4p;set2;(T1-d)+d;FALSE;0
Cc4p;set2;(P1+d)+d;FALSE;0
Cc4p;set2;(P1+d)-d;FALSE;0
Cc4p;set2;(T1+d)+T1;FALSE;0
Cc4p;set3;(P1-(T1-P1))+d;FALSE;0
Cc4p;set3;(T1+d)+(T1-P1);FALSE;0
Cc4p;set3;((T1-d)+P1)+d;FALSE;0
Cc4p;set3;T1-((P1+d)-d);FALSE;0
Cc4p;set3;T1+((P1+d)-P1);FALSE;0
Cc4p;set3;(T1+P1)-(P1-d);FALSE;0
Cc4p;set3;T1-((P1+d)-P1);FALSE;0
Cc4p;set3;(T1+(T1-P1))+d;FALSE;0
Cc4p;set3;(T1-(P1+d))+d;FALSE;0
Cc4p;set3;(T1-d)+(T1-P1);FALSE;0
Cc4p;set3;T1+((T1+d)-P1);FALSE;0
Cc4p;set3;P1+((T1+d)-P1);FALSE;0
Cc4p;set3;((T1+P1)+T1)-d;FALSE;0
Cc4p;set3;((T1+d)+P1)+d;FALSE;0
Cc4p;set3;T1+((P1+d)+d);FALSE;0
Cc4p;set3;(T1+P1)+(T1-d);FALSE;0
Cc4p;set3;T1+((P1+d)-d);FALSE;0
