Tc1t;773;T1+d;False;LucasGAIN-LucasGAINminusSimonGAIN=SimonGAIN;['-d interpreted as LucasGAINminusSimonGAIN', 'T1 interpreted as LucasGAIN']
Tc1t;774;T1-d;False;LucasGAIN-(LucasEFminusSimonEF-LucasEIminusSimonEI)=SimonGAIN;['d interpreted as LucasEFminusSimonEF', 'T1 interpreted as LucasGAIN']
Tc1t;775;T1-d;False;LucasGAIN-(LucasEIminusSimonEI-LucasEFminusSimonEF)=SimonGAIN;['-d interpreted as LucasEFminusSimonEF', 'T1 interpreted as LucasGAIN']
Tc1t;889;T1-P1;False;LucasEF-LucasGAIN=LucasEI;[]
Tc1t;891;((T1-P1)-(P1-d))+d;True;((LucasEF-LucasGAIN)-((LucasGAIN-SimonGAIN)-LucasEFminusSimonEF))+SimonGAIN=SimonEF;['d interpreted as SimonGAIN', 'dEI interpreted as LucasEFminusSimonEF']
Tc1t;918;(P1+d)+((T1-P1)-d);True;(LucasGAIN-LucasGAINminusSimonGAIN)+((LucasEF-LucasGAIN)-(LucasEFminusSimonEF-LucasGAINminusSimonGAIN))=SimonEF;['-d interpreted as LucasGAINminusSimonGAIN', 'dEI interpreted as LucasEFminusSimonEF']
Tc1t;957;P1;False;LucasEF;['P1 interpreted as LucasEF']
Tc1t;961;T1-P1;False;(LucasEF-LucasGAIN)-LucasEIminusSimonEI=SimonEI;[]
Tc1t;966;P1+d;False;LucasGAIN-LucasGAINminusSimonGAIN=SimonGAIN;['-d interpreted as LucasGAINminusSimonGAIN']
Tc1t;969;P1+((T1-P1)-d);True;(LucasGAIN-LucasGAINminusSimonGAIN)+((LucasEF-LucasGAIN)-(LucasEFminusSimonEF-LucasGAINminusSimonGAIN))=SimonEF;['d interpreted as LucasEFminusSimonEF', 'dEI interpreted as LucasGAINminusSimonGAIN']
Tc1t;1003;P1+((T1-P1)-d);True;(LucasGAIN-LucasGAINminusSimonGAIN)+((LucasEF-LucasGAIN)-(LucasGAINminusSimonGAIN-LucasEFminusSimonEF))=SimonEF;['-d interpreted as LucasEFminusSimonEF', 'dEI interpreted as LucasGAINminusSimonGAIN']
Tc1t;1152;(T1-P1)-d;True;((LucasEF-LucasGAIN)-LucasEIminusSimonEI)+SimonGAIN=SimonEF;['-d interpreted as SimonGAIN']
Tc1t;1155;T1-(P1+d);True;LucasEF-((LucasGAIN-SimonGAIN)+LucasEIminusSimonEI)=SimonEF;['-d interpreted as SimonGAIN']
Tc1t;1172;(P1+d)+(T1-P1);True;(LucasGAIN-LucasGAINminusSimonGAIN)+((LucasEF-LucasGAIN)-LucasEIminusSimonEI)=SimonEF;['-d interpreted as LucasGAINminusSimonGAIN']
Tc1t;1176;(T1-P1)+(P1-d);True;((LucasEF-LucasGAIN)-LucasEIminusSimonEI)+(LucasGAIN-(LucasEFminusSimonEF-LucasEIminusSimonEI))=SimonEF;['d interpreted as LucasEFminusSimonEF']
Tc1t;1201;(T1-P1)+(P1-d);True;((LucasEF-LucasGAIN)-LucasEIminusSimonEI)+(LucasGAIN-(LucasEIminusSimonEI-LucasEFminusSimonEF))=SimonEF;['-d interpreted as LucasEFminusSimonEF']
Tc1t;1338;(T1-P1)+d;True;((LucasEF-LucasGAIN)-LucasEIminusSimonEI)+SimonGAIN=SimonEF;['d interpreted as SimonGAIN']
Tc1t;1341;T1-(P1-d);True;LucasEF-((LucasGAIN-SimonGAIN)+LucasEIminusSimonEI)=SimonEF;['d interpreted as SimonGAIN']
Tc1t;2042;P1+(P1-d);True;(LucasEI-LucasEIminusSimonEI)+(LucasGAIN-LucasGAINminusSimonGAIN)=SimonEF;['P1 interpreted as LucasGAIN', 'P1 interpreted as LucasEI']
Tc1t;2061;P1+(P1-d);True;(LucasEI-LucasEIminusSimonEI)+(LucasGAIN-LucasGAINminusSimonGAIN)=SimonEF;['P1 interpreted as LucasEI']
Tc1t;2080;T1+(P1-d);True;(LucasEI-LucasEIminusSimonEI)+(LucasGAIN-LucasGAINminusSimonGAIN)=SimonEF;['T1 interpreted as LucasEI']
Tc1t;2125;P1+P1;True;(LucasEI-LucasEIminusSimonEI)+(LucasGAIN-LucasGAINminusSimonGAIN)=SimonEF;['dEI interpreted as LucasGAINminusSimonGAIN', 'P1 interpreted as LucasEI']
Tc1t;2127;T1;True;LucasEF-(LucasEIminusSimonEI+LucasGAINminusSimonGAIN)=SimonEF;['dEI interpreted as LucasGAINminusSimonGAIN']
Tc1t;2156;(P1+d)+P1;True;(LucasGAIN-LucasGAINminusSimonGAIN)+(LucasEI-LucasEIminusSimonEI)=SimonEF;['-d interpreted as LucasGAINminusSimonGAIN', 'P1 interpreted as LucasEI']
Tc1t;2173;P1-d;True;(LucasGAIN-LucasGAINminusSimonGAIN)+(LucasEIminusSimonEI-(LucasEF-LucasGAIN))=SimonEF;['P1 interpreted as LucasGAIN', 'P1 interpreted as LucasEF']
Tc1t;2293;P1-d;True;(LucasGAIN-LucasGAINminusSimonGAIN)+(LucasEIminusSimonEI-(LucasEF-LucasGAIN))=SimonEF;['P1 interpreted as LucasEF']
Tc1t;2305;P1;True;(LucasGAIN-LucasGAINminusSimonGAIN)+(LucasEIminusSimonEI-(LucasEF-LucasGAIN))=SimonEF;['dEI interpreted as LucasGAINminusSimonGAIN', 'P1 interpreted as LucasEF']
Tc1t;2307;P1;True;LucasEF-(LucasEIminusSimonEI+LucasGAINminusSimonGAIN)=SimonEF;['dEI interpreted as LucasGAINminusSimonGAIN', 'P1 interpreted as LucasEF']
Tc1t;2346;d;True;SimonGAIN+(LucasEIminusSimonEI-(LucasEF-LucasGAIN))=SimonEF;['d interpreted as SimonGAIN', 'P1 interpreted as LucasEF']
Tc1t;2362;P1+d;True;(LucasGAIN-LucasGAINminusSimonGAIN)+(LucasEIminusSimonEI-(LucasEF-LucasGAIN))=SimonEF;['-d interpreted as LucasGAINminusSimonGAIN', 'P1 interpreted as LucasEF']
Tc1t;2447;T1+(T1-d);True;(LucasEI-LucasEIminusSimonEI)+(LucasGAIN-LucasGAINminusSimonGAIN)=SimonEF;['T1 interpreted as LucasGAIN', 'T1 interpreted as LucasEI']
Tc1t;2473;T1+P1;True;(LucasEI-LucasEIminusSimonEI)+(LucasGAIN-LucasGAINminusSimonGAIN)=SimonEF;['dEI interpreted as LucasGAINminusSimonGAIN', 'T1 interpreted as LucasEI']
Tc1t;2581;T1-d;True;(LucasGAIN-LucasGAINminusSimonGAIN)+(LucasEIminusSimonEI-(LucasEF-LucasGAIN))=SimonEF;['T1 interpreted as LucasEF', 'T1 interpreted as LucasGAIN']
Tc1t;2641;T1-d;True;(LucasGAIN-LucasGAINminusSimonGAIN)+(LucasEIminusSimonEI-(LucasEF-LucasGAIN))=SimonEF;['T1 interpreted as LucasGAIN']
Tc1t;2653;T1;True;(LucasGAIN-LucasGAINminusSimonGAIN)+(LucasEIminusSimonEI-(LucasEF-LucasGAIN))=SimonEF;['dEI interpreted as LucasGAINminusSimonGAIN', 'T1 interpreted as LucasGAIN']
Tc1t;2694;d;True;SimonGAIN+(LucasEIminusSimonEI-(LucasEF-LucasGAIN))=SimonEF;['d interpreted as SimonGAIN', 'T1 interpreted as LucasGAIN']
Tc1t;2710;T1+d;True;(LucasGAIN-LucasGAINminusSimonGAIN)+(LucasEIminusSimonEI-(LucasEF-LucasGAIN))=SimonEF;['-d interpreted as LucasGAINminusSimonGAIN', 'T1 interpreted as LucasGAIN']
Tc1t;2788;(T1-P1)+P1;True;((LucasEF-LucasGAIN)-LucasEIminusSimonEI)+(LucasGAIN-LucasGAINminusSimonGAIN)=SimonEF;['dEI interpreted as LucasGAINminusSimonGAIN']
Tc1t;2965;(T1-P1)+P1;True;((LucasEF-LucasGAIN)-LucasEIminusSimonEI)+(LucasGAIN-LucasGAINminusSimonGAIN)=SimonEF;['dEI interpreted as LucasEIminusSimonEI', 'dEI interpreted as LucasGAINminusSimonGAIN']
Tc1t;2967;T1;True;LucasEF-(LucasEIminusSimonEI+LucasGAINminusSimonGAIN)=SimonEF;['dEI interpreted as LucasEIminusSimonEI', 'dEI interpreted as LucasGAINminusSimonGAIN']
Tc1t;3556;(T1-P1)+(P1-d);True;((LucasEF-(LucasEF-LucasEI))-LucasEIminusSimonEI)+((LucasEF-LucasEI)-LucasGAINminusSimonGAIN)=SimonEF;['P1 interpreted as LucasGAIN', 'P1 interpreted as LucasEI']
Tc1t;3597;((T1-P1)-d)+((T1-P1)-P1);True;((LucasEF-LucasEI)-LucasGAINminusSimonGAIN)+(((LucasEF-LucasEI)-LucasEF)-LucasEIminusSimonEI)=SimonEF;['P1 interpreted as LucasEF', 'P1 interpreted as LucasEI']
Tc1t;3638;T1+((T1-P1)-d);True;(LucasEI-LucasEIminusSimonEI)+((LucasEF-LucasEI)-LucasGAINminusSimonGAIN)=SimonEF;['T1 interpreted as LucasEI', 'P1 interpreted as LucasEI']
Tc1t;3640;(T1+(T1-P1))-d;True;(LucasEI+(LucasEF-LucasEI))-(LucasGAINminusSimonGAIN+LucasEIminusSimonEI)=SimonEF;['T1 interpreted as LucasEI', 'P1 interpreted as LucasEI']
Tc1t;3888;P1+d;True;(LucasEI-LucasEIminusSimonEI)+(LucasGAINminusSimonGAIN-(LucasEF-((LucasEI-LucasEIminusSimonEI)+LucasEIminusSimonEI)))=SimonEF;['P1 interpreted as LucasEF', 'P1 interpreted as LucasEI']
